0x4010B0 midtown
0x705C1C mmwidget:togglebutton
0x705C20 mmwidget:togglebutton2
0x705C28 mmwidget:vscrollbar
0x705C50 mmwidget:pointer
0x705C78 mmwidget:tdwidget
0x705CA0 mmwidget:sliderbar
0x705CC8 mmwidget:vswidget
0x705CF0 mmwidget:toggle2
0x705D18 mmwidget:toggle
0x705D40 mmwidget:dropdown
0x705D68 mmanim:AnimMgr
0x705D98 mmanim:bridge
0x705E1C mmanim:mmbridgeaudmgr
0x705E20 mmanim:AnimDOF
0x705E58 mmanim:plane
0x705E70 mmanim:train
0x705F08 mmanim:boat
0x705FB0 mmbangers:data
0x706048 mmbangers:banger
0x706060 mmbangers:active
0x706068 mmcityinfo:state
0x7084E4 mmcityinfo:citylist
0x7084EC mmcityinfo:vehlist
0x7084F8 mmcityinfo:miscdata
0x708520 mmcityinfo:playercfg
0x708548 mmcityinfo:playerdir
0x708570 mmcityinfo:playerdata
0x7085C8 mmcityinfo:infobase
0x7085F0 mmcityinfo:racerecord
0x708618 mmcityinfo:roadsect
0x708690 mmcityinfo:mapdata
0x7086C0 mmphysics:phys
0x7190E8 mmphysics:inertia
0x719118 mmphysics:joint3dof
0x719160 mmphysics:osample
0x719194 mmphysics:bound
0x7191F8 mmphysics:aero
0x719220 mminput:input
0x719288 mminput:iodev
0x7192F8 mmaudio:manager
0x719330 mmaudio:dupbufcreator
0x719334 mmaudio:dsglobal
0x719350 mmcamcs:povcamcs
0x719380 mmcamcs:trackcamcs
0x7193A8 mmcamcs:viewcs
0x7193D8 mmcamcs:postcamcs
0x719400 mmcamcs:precamcs
0x719438 mmcamcs:pointcamcs
0x719468 mmcamcs:aicamcs
0x719498 mmcamcs:polarcamcs
0x7194C8 mmcamcs:carcamcs
0x7194F8 mmcamcs:basecamcs
0x719520 mmcamcs:appcamcs
0x719548 mmcamcs:spline
0x719570 mmeffects:mmnumber
0x7195A4 mmeffects:meshform
0x7195A8 mmeffects:ptx
0x7195D8 mmeffects:birth
0x719600 mmeffects:linespark
0x719610 mmeffects:vehform
0x719614 agiworld:meshload
0x719620 agiworld:texsort
0x719C48 agiworld:meshrend
0x73D3D8 agiworld:meshlight
0x73E6C0 agiworld:texsheet
0x73E6E4 agiworld:getmesh
0x73E720 agiworld:getmodel
0x73E738 agiworld:packnorm
0x73EE30 agiworld:mrkni
0x77EE30 mmdyna:bndtmpl2
0x77F498 mmdyna:bndtmpl
0x7805E8 memory:allocator
0x790730 memory:valloc
0x790750 arts7:sim
0x790830 arts7:node
0x79086C arts7:cullmgr
0x7908B0 arts7:cullable
0x7908D8 arts7:linear
0x790900 arts7:lamp
0x790928 arts7:midgets
0x790930 arts7:form
0x790958 arts7:camera
0x790984 arts7:pgraph
0x790990 arts7:dof
0x7909B8 arts7:view
0x7909E0 dyna7:gfx
0x790CD8 dyna7:dyna
0x790DC4 agid3d:pcpipe
0x790DF0 agid3d:d3drsys
0x795BD8 agid3d:d3dpipe
0x795C34 agid3d:d3drpipe
0x795C38 agid3d:d3dtexdef
0x795C88 agid3d:dderror
0x795CB0 agisw:swddraw
0x795F48 agisw:swrend
0x7E0020 agirend:lighter
0x7E02C8 agirend:projvtx
0x8BABF8 agirend:surfrender
0x8FAC18 agi:pipeline
0x8FAD28 agi:texdef
0x8FAFD0 agi:getdlp
0x8FAFE8 agi:physlib
0x8FF040 agi:viewport
0x8FF050 agi:rsys
0x8FF0D8 agi:texlib
0x903130 agi:dlptmpl
0x903140 agi:bitmap
0x903190 agi:surface
0x903198 agi:mtllib
0x907230 agi:error
0x907238 agi:palette
0x907648 agi:cmodelx
0x907868 agi:render
0x907950 agi:dlp
0x907960 stream:stream
0x907A30 stream:fsystem
0x907B40 stream:hfsystem
0x908BE0 stream:filestream
0x908C34 eventq7:winevent
0x908C58 eventq7:event
0x9092C0 eventq7:geinputLib
0x909438 eventq7:replay
0x909448 vector7:randmath
0x909450 vector7:vector3
0x909490 vector7:matrix34
0x9094EC vector7:vector4
0x9094F0 vector7:matrix44
0x909644 vector7:vector2
0x909648 vector7:const
0x909650 pcwindis:dxinit
0x909680 pcwindis:setupdata
0x90A560 pcwindis:dxsetup
0x90A66C data7:timer
0x90A680 data7:printer
0x90A9B0 data7:cache
0x90A9F0 data7:pager
0x90AA20 data7:metaclass
0x90AE5C data7:hash
0x90AE60 data7:ipc
0x90AEA8 data7:memstat
0x90AEF0 data7:args
0x90B100 data7:base
0x90B128 data7:callback
0x90B208 data7:str
0x90B474 data7:metatype
0x90B4A0 data7:mmx
0x90B4B4 data7:utimer
0x90B4C0 mmdjpeg:jmemnobs
